,CAMIS,DBA,PHONE,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,target
3214,40950278,SEVEN COFFEE SHOP,7184729226,QUEENS,4340,34 STREET,11101,Caf̩/Coffee/Tea,0
3215,40950392,TOMMY'S TAVERN,7183839699,BROOKLYN,1041,MANHATTAN AVENUE,11222,American,1
3216,40950399,POLLOS A LA BRASA MARIO,7184578800,QUEENS,8302,37 AVENUE,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3217,40950465,KAHLUA'S CAFE & RESTAURANT,2123480311,MANHATTAN,2117,3 AVENUE,10029,Mexican,1
3218,40950482,EAMONN'S BAR AND GRILL,2128679013,MANHATTAN,9,EAST   45 STREET,10017,Irish,1
3219,40950504,EATA PITA,2122972500,MANHATTAN,109,EAST   42 STREET,10017,Mediterranean,0
3220,40950507,YUMMY SUSHI,2124592100,MANHATTAN,30,ROCKFEELLER PLAZA,10020,Japanese,0
3221,40950544,LE PAIN QUOTIDIEN,2127129700,MANHATTAN,50,WEST   72 STREET,10023,Sandwiches,0
3222,40951165,MOONCAKE FOODS,2122198888,MANHATTAN,28,WATTS STREET,10013,Asian,1
3223,40951329,TAKAHACHI TRIBECA,2125711830,MANHATTAN,145,DUANE STREET,10013,Japanese,1
3224,40951528,BAGELICIOUS,7184593596,QUEENS,6401,108 STREET,11375,Bagels/Pretzels,0
3225,40951864,FULTON AVE CAFE,7189018926,BRONX,1276,FULTON AVENUE,10456,American,0
3226,40951870,THERAPY,2123971700,MANHATTAN,348,WEST   52 STREET,10019,American,0
3227,40951884,GUY & GALLARD,2127300010,MANHATTAN,1001,6 AVENUE,10018,American,0
3228,40951896,STARBUCKS,2125572718,MANHATTAN,125,PARK AVENUE,10017,Caf̩/Coffee/Tea,0
3229,40951901,STARBUCKS,2124803970,MANHATTAN,80,PINE STREET,10005,Caf̩/Coffee/Tea,0
3230,40952129,LA VILLA,7184999888,BROOKLYN,261263,5 AVENUE,11215,Italian,1
3231,40952198,EMACK & BOLIO'S,2123622747,MANHATTAN,389,AMSTERDAM AVENUE,10024,"Ice Cream, Gelato, Yogurt, Ices",0
3232,40952254,DUNKIN' DONUTS BASKIN ROBBINS,7186721433,QUEENS,7016,NORTHERN BOULEVARD,11372,Donuts,0
3233,40953735,CUCINA AND CO.,2123327633,MANHATTAN,600,5 AVENUE,10020,American,0
3234,40954215,AGNANTI RESTAURANT,7185454554,QUEENS,1906,DITMARS BOULEVARD,11105,Greek,0
3235,40954549,IMMACULEE BAKERY,7189412644,BROOKLYN,1411,NOSTRAND AVENUE,11226,Bakery,0
3236,40954991,STAR ON 18TH DINER CAFE,2123660994,MANHATTAN,128,10 AVENUE,10011,American,1
3237,40955456,THE MERCER SUBMERCER,2129666060,MANHATTAN,147,MERCER STREET,10012,American,0
3238,40955649,KOBRICK COFFEE CO.,2122555588,MANHATTAN,24,9 AVENUE,10014,"Bottled beverages, including water, sodas, juices, etc.",1
3239,40956001,UMI SUSHI JAPANESE CUISINE,2126863308,MANHATTAN,118,EAST   31 STREET,10016,Japanese,0
3240,40956188,BAGELS ON THE LANE,7186674114,STATEN ISLAND,166,NEW DORP LANE,10306,Delicatessen,0
3241,40956260,JOE & JOHN TOTO'S RESTAURANT,7189791888,STATEN ISLAND,809,FATHER CAPODANNO BLVD,10305,Italian,0
3242,40956726,EAST MEETS WEST,7184745999,QUEENS,421,BEACH  129 STREET,11694,Chinese,1
3243,40957025,M2M MART,2122804600,MANHATTAN,2935,BROADWAY,10025,Asian,1
3244,40957398,KUMA INN,2123538866,MANHATTAN,113,LUDLOW STREET,10002,Thai,0
3245,40957421,RARE BAR & GRILL,2124811999,MANHATTAN,303,LEXINGTON AVENUE,10016,American,1
3246,40957726,JOE,2129246750,MANHATTAN,141,WAVERLY PLACE,10014,Caf̩/Coffee/Tea,0
3247,40957761,FLATIRON LOUNGE,2127277741,MANHATTAN,37,WEST   19 STREET,10011,American,1
3248,40957772,NURSE BETTIE,2124777515,MANHATTAN,106,NORFOLK STREET,10002,American,0
3249,40957903,STARBUCKS,7184243716,QUEENS,5106,NORTHERN BOULEVARD,11377,Caf̩/Coffee/Tea,0
3250,40958032,SUBWAY,2122538670,MANHATTAN,250,EAST HOUSTON STREET,10002,Sandwiches,0
3251,40958104,THE DOOR,7185251083,QUEENS,16307,BAISLEY BOULEVARD,11434,Caribbean,1
3252,40958136,SIX BLOCKS BAKERY CAFE,7186519494,QUEENS,0,LAGUARDIA AIRPORT,11369,American,0
3253,40958138,BOWERY BAY TAVERN,7186566210,QUEENS,0,LAGUARDIA AIRPORT,11369,American,0
3254,40958170,SOHO HOUSE,2126279800,MANHATTAN,2935,9 AVENUE,10014,American,1
3255,40958354,DELMAR PIZZERIA,7187697766,BROOKLYN,1668,SHEEPSHEAD BAY ROAD,11235,Pizza/Italian,0
3256,40958613,CITY DINER,2128772720,MANHATTAN,2441,BROADWAY,10024,American,0
3257,40958954,ELENA-43- RESTAURANT,7184684500,QUEENS,8948,FRANCIS LEWIS BOULEVARD,11427,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
3258,40959012,CARVEL ICE CREAM,7182365928,BROOKLYN,1652,86 STREET,11214,"Ice Cream, Gelato, Yogurt, Ices",0
3259,40959046,BAR 13,2129796677,MANHATTAN,35,EAST   13 STREET,10003,American,1
3260,40959121,TEMPEST BAR,2126431502,MANHATTAN,407,8 AVENUE,10001,Irish,0
3261,40959339,FRATELLI'S MARKET PLACE,6466726722,MANHATTAN,0,WARDS ISLAND/2FL,10057,American,0
3262,40959591,BA XUYEN,7186336601,BROOKLYN,4222,8 AVENUE,11232,Vietnamese/Cambodian/Malaysia,1
3263,40959634,SPUYTEN DUYVIL,7189634140,BROOKLYN,359,METROPOLITAN AVENUE,11211,American,0
3264,40959649,HALE & HEARTY SOUP,2122219666,MANHATTAN,745,7 AVENUE,10019,Soups & Sandwiches,0
3265,40960423,EL MAGUEY Y LA TUNA,2124733919,MANHATTAN,321,EAST HOUSTON STREET,10002,Mexican,1
3266,40960698,SCORPION,7182057909,QUEENS,7516,ROOSEVELT AVENUE,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
3267,40960987,MERCHANTS NY,2123667267,MANHATTAN,112,7 AVENUE,10011,American,0
3268,40961218,METROPOLITAN MUSEUM OF ART,2125703986,MANHATTAN,1000,5 AVENUE,10028,American,0
3269,40961447,MESON SEVILLA RESTAURANT,2122625890,MANHATTAN,344,WEST   46 STREET,10036,Spanish,1
3270,40961549,POPEYES LOUISIANA KITCHEN,7188567880,BROOKLYN,722,FLATBUSH AVENUE,11225,Chicken,0
3271,40961620,JK BAKERY,7185393563,QUEENS,140-14,28th Road,11354,Bagels/Pretzels,0
3272,40961653,FLOR DE MAYO RESTAURANT,2126635520,MANHATTAN,2651,BROADWAY,10025,Chinese/Cuban,1
3273,40962072,RARYTAS MANOR,7183267511,QUEENS,5509,METROPOLITAN AVENUE,11385,Eastern European,0
3274,40962159,CAFE MILANO,7187201313,STATEN ISLAND,401,FOREST AVENUE,10301,Italian,1
3275,40962170,SUBWAY,7186981762,STATEN ISLAND,2409,RICHMOND AVENUE,10314,Sandwiches,0
3276,40962335,THE SOUL SPOT,7185969933,BROOKLYN,302,ATLANTIC AVENUE,11201,Soul Food,1
3277,40962349,GREAT WALL,7185845488,BRONX,3003,WEBSTER AVENUE,10458,Chinese,0
3278,40962966,JADE LINDEN RESTAURANT,7182967105,QUEENS,7806,LINDEN BOULEVARD,11414,Chinese,0
3279,40962981,MARIO'S PIZZA,7182325440,BROOKLYN,1381,65 STREET,11219,Pizza,0
3280,40963082,CLEM'S,7183879617,BROOKLYN,264,GRAND STREET,11211,American,0
3281,40963282,TIPICO DOMINICANO RESTAURANT,7187247917,QUEENS,10310,39 AVENUE,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
3282,40964100,EL REY DE LOS TACOS,7183962779,QUEENS,4906,43 AVENUE,11377,Mexican,0
3283,40964241,ULYSSES,2124820400,MANHATTAN,91,PEARL STREET,10004,American,0
3284,40964282,BUTTERMILK BAR,7187886297,BROOKLYN,577,5 AVENUE,11215,American,1
3285,40964289,BOAT BAR,7182540607,BROOKLYN,175,SMITH STREET,11201,American,1
3286,40964716,OLD CARRIAGE INN,7187887747,BROOKLYN,312,7 AVENUE,11215,American,0
3287,40965047,KINGS COUNTY CAFETERIA,7182453527,BROOKLYN,451,CLARKSON AVENUE,11203,American,0
3288,40965048,UNCLE LOUIE G'S ITALIAN ICES & ICE CREAM,7183661730,BROOKLYN,3138,AVENUE U,11229,"Ice Cream, Gelato, Yogurt, Ices",0
3289,40965172,L'AILE OU LA CUISSE (L'A.O.C),2126759463,MANHATTAN,314,BLEECKER ST,10014,French,1
3290,40965338,HUDSON DINER,2126279191,MANHATTAN,468,HUDSON STREET,10014,American,1
3291,40965396,CORNER STYLE,7184108460,BRONX,1195,WALTON AVENUE,10452,American,0
3292,40965496,"DUNKIN' DONUTS, BASKIN ROBBINS",7183367414,BROOKLYN,18151817,AVENUE U,11229,Caf̩/Coffee/Tea,1
3293,40965997,BONSIGNOUR,2122299700,MANHATTAN,35,JANE STREET,10014,American,1
3294,40966076,WELCOME TO THE JOHNSON'S,2124209911,MANHATTAN,123,RIVINGTON STREET,10002,American,1
3295,40966216,ALMOND,2122287557,MANHATTAN,12,EAST   22 STREET,10010,French,1
3296,40966222,ATERES AVROHOM,7183023700,BROOKLYN,75,ROSS STREET,11249,Jewish/Kosher,0
3297,40966842,SUBWAY,7188919188,BROOKLYN,1503,SHEEPSHEAD BAY ROAD,11235,Sandwiches,0
3298,40966966,MOONSTRUCK,2128672545,MANHATTAN,244,MADISON AVENUE,10016,American,0
3299,40967098,Andrew & Frank's DELI,7187289066,QUEENS,2802,23 AVENUE,11105,Delicatessen,0
3300,40967297,PRET A MANGER,2128671905,MANHATTAN,205,EAST   42 STREET,10017,Sandwiches,0
3301,40967336,THEATER CAFE,7182610014,QUEENS,10603,METROPOLITAN AVENUE,11375,American,0
3302,40967394,LOS CUENCANITOS,7184261734,QUEENS,5418,ROOSEVELT AVENUE,11377,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3303,40968428,MR. DENNEHY'S,2124141223,MANHATTAN,63,CARMINE STREET,10014,American,0
3304,40968447,CARACAS AREPA /TO GO,2122285062,MANHATTAN,91,EAST    7 STREET,10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
3305,40968567,L. I. C. BAR,7187865400,QUEENS,4558,VERNON BOULEVARD,11101,Irish,0
3306,40968682,STAR OF SIAM,7185444097,QUEENS,10318,METROPOLITAN AVENUE,11375,Thai,0
3307,40969008,PIA'S PIZZERIA,7186466786,BROOKLYN,3682A,NOSTRAND AVENUE,11229,Pizza/Italian,1
3308,40969077,BOSTON MARKET,2122061221,MANHATTAN,273,WEST   23 STREET,10011,American,0
3309,40969233,510 11ST BAR,2129824929,MANHATTAN,510,EAST   11 STREET,10009,American,1
3310,40969326,LA GUARIDA BAR,9179518643,BROOKLYN,369,36 STREET,11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3311,40969350,STARBUCKS,7184596923,QUEENS,10102,QUEENS BOULEVARD,11375,Caf̩/Coffee/Tea,0
3312,40969600,EVO COCKTAIL LOUNGE & RESTAURANT,7188229274,BRONX,1306,UNIONPORT ROAD,10462,American,1
3313,40969814,VOSGES HAUT-CHOCOLAT,2126252929,MANHATTAN,126132,SPRING STREET,10012,"Ice Cream, Gelato, Yogurt, Ices",0
3314,40969851,ANGELO & AL'S PIZZERIA,7187628067,QUEENS,6822,FRESH MEADOWS LANE,11365,Pizza/Italian,0
3315,40970116,BAMBOO GARDEN CHINESE RESTAURANT,7182061339,QUEENS,14610,LIBERTY AVENUE,11435,Chinese,0
3316,40970385,SOFIA,7186804242,BROOKLYN,8406,3 AVENUE,11209,Italian,0
3317,40970790,PICO RICO,7183964414,QUEENS,10312,NORTHERN BOULEVARD,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3318,40970875,DUNKIN' DONUTS,7189442309,BRONX,43874399,WHITE PLAINS ROAD,10466,Donuts,0
3319,40970904,MERRION SQUARE,2128317696,MANHATTAN,1840,2 AVENUE,10128,American,1
3320,40971149,OH TAISHO,2126731300,MANHATTAN,9,ST MARKS PLACE,10003,Japanese,1
3321,40971800,ANTHONY'S,7184686020,QUEENS,22202,UNION TURNPYKE,11364,Italian,0
3322,40971873,BREAK BAR & BILLARDS,7187775400,QUEENS,3208,BROADWAY,11106,American,0
3323,40972083,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,7187232344,QUEENS,23416,LINDEN BOULEVARD,11411,Caribbean,0
3324,40972155,CHAI THAI RESTAURANT,7185995889,BROOKLYN,124,NORTH    6 STREET,11249,Thai,1
3325,40972714,302 BAR,3472995061,BROOKLYN,302,IRVING AVENUE,11237,Spanish,1
3326,40972759,GATE WAY BEER GARDEN,7182353251,BROOKLYN,3162,FULTON STREET,11208,Caribbean,1
3327,40972873,STARBUCKS,2123981982,MANHATTAN,251,WEST   42 STREET,10036,Caf̩/Coffee/Tea,1
3328,40973003,THE PATRIOT SALOON,2127481162,MANHATTAN,110,CHAMBERS STREET,10007,American,1
3329,40973604,THE PIZZA PLACE,7185159467,BRONX,4024,WHITE PLAINS ROAD,10466,Pizza,0
3330,40973710,BAGEL TALK,2128751267,MANHATTAN,368,AMSTERDAM AVENUE,10024,Bagels/Pretzels,0
3331,40974031,CECI RESTAURANT,2125690555,MANHATTAN,78,SHERMAN AVENUE,10040,Spanish,1
3332,40974392,BAYOU,7182734383,STATEN ISLAND,1072,BAY STREET,10305,Cajun,0
3333,40974644,XO CREPERIE,7183684477,BROOKLYN,2027,EMMONS AVE,11235,French,0
3334,40974766,CHIKALICIOUS DESSERT BAR,2129959511,MANHATTAN,203,EAST   10 STREET,10003,Other,0
3335,40975524,BARRIO CHINO,2122286710,MANHATTAN,253,BROOME STREET,10002,Mexican,0
3336,40975656,GOLDEN DYNASTY REST,7188370366,BROOKLYN,6316,BAY PARKWAY,11204,Chinese,0
3337,40976304,ART BAR,2127270244,MANHATTAN,52,8 AVENUE,10014,American,0
3338,40976390,MONA'S BAKERY & CAFE,3473234249,BROOKLYN,281,KINGS HIGHWAY,11223,Bakery,1
3339,40976804,CHIPOTLE MEXICAN GRILL,2126829868,MANHATTAN,150,EAST   44 STREET,10017,Mexican,1
3340,40976902,BAY CLUB RESTAURANT,7186315545,QUEENS,2,BAY CLUB DRIVE,11360,Continental,0
3341,40976973,EL PASILLO,7184268738,QUEENS,3769,103 STREET,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
3342,40977209,WAVERLY RESTAURANT,2126753181,MANHATTAN,385,6 AVENUE,10014,American,0
3343,40977354,R BAR,7184866116,BROOKLYN,451,MEEKER AVENUE,11222,American,1
3344,40977390,THE JOHN J O'CONNOR RESIDENCE,7185810453,BRONX,5655,ARLINGTON AVENUE,10471,American,0
3345,40977437,LA CAVERNA,2124752126,MANHATTAN,122124,RIVINGTON STREET,10002,American,0
3346,40977606,MIKE'S TAVERN,7188459322,QUEENS,8814,LIBERTY AVENUE,11417,American,1
3347,40977865,BOBBY VAN'S STEAKHOUSE,2122078050,MANHATTAN,131,EAST   54 STREET,10022,Steak,0
3348,40977888,BAR MATCHLESS,7183835333,BROOKLYN,557,MANHATTAN AVENUE,11222,American,1
3349,40978159,CANDLE 79 RESTAURANT,2125377179,MANHATTAN,154,EAST   79 STREET,10075,Vegetarian,1
3350,40978252,TALIA'S STEAKHOUSE,2125803770,MANHATTAN,668,AMSTERDAM AVENUE,10025,Steak,0
3351,40978571,STARLITE LOUNGE,7182522435,BROOKLYN,1213,MCDONALD AVENUE,11230,American,0
3352,40978593,BONAO BAR AND GRILL,7183460285,BROOKLYN,123,JAMAICA AVENUE,11207,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3353,40978782,BARLEY,7183492340,BROOKLYN,1025,MANHATTAN AVENUE,11222,American,1
3354,40978834,68 JAY STREET BAR,7182608207,BROOKLYN,68,JAY STREET,11201,American,1
3355,40979119,DUNKIN' DONUTS,7188161917,STATEN ISLAND,97,STUYVESANT PLACE,10301,Donuts,0
3356,40979259,BAI SUSHI,7189567445,QUEENS,3703,BROADWAY,11103,Japanese,0
3357,40979519,MR. WEDGE,7188934466,BRONX,673,HUNTS POINT AVENUE,10474,American,1
3358,40979620,JACK'S COFFEE,2129290821,MANHATTAN,138,WEST 10 STREET,10014,Caf̩/Coffee/Tea,0
3359,40979852,L'ITALIANO TRATTORIA,7182242536,QUEENS,21601,HORACE HARDING EXPRESSWAY,11364,Italian,0
3360,40980061,JOHN'S LUNCHEONETTE,9176648350,BRONX,331,EAST GUN HILL ROAD,10467,American,0
3361,40980062,TOKYO SUSHI JAPANESE RESTAURANT,7187271771,STATEN ISLAND,1710,VICTORY BOULEVARD,10314,Japanese,1
3362,40980328,CLEARVIEW PARK (GOLF COURSE),7182292570,QUEENS,20212,WILLETS POINT BOULEVARD,11360,American,0
3363,40980377,LITTLE TONINO'S PIZZA & CAFE,7184387088,BROOKLYN,424,GREENWOOD AVE,11218,Pizza,0
3364,40980389,THE GRAFTON PUBLIC HOUSE,2122288580,MANHATTAN,126,1 AVENUE,10009,American,1
3365,40980650,ISAAC'S COFFEE SHOP,7183779595,BROOKLYN,3001,AVENUE K,11210,Caf̩/Coffee/Tea,0
3366,40980922,BAYSIDE MARINA SNACK BAR,7182290097,QUEENS,2805,CROSS ISLAND PARKWAY,11360,American,0
3367,40981540,FALUCKA,2127774555,MANHATTAN,162,BLEECKER STREET,10012,American,0
3368,40981913,SEBA SEBA,7184784691,QUEENS,7928,37 AVENUE,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
3369,40982663,STARBUCKS,7182347160,BROOKLYN,6423,18 AVENUE,11204,Caf̩/Coffee/Tea,0
3370,40982677,STARBUCKS,2123444290,MANHATTAN,2,BROADWAY,10004,Caf̩/Coffee/Tea,0
3371,40982756,CITY COFFEE,7186398169,QUEENS,7717,37 AVENUE,11372,American,1
3372,40983133,AMERICAN GIRL CAFE,2124016580,MANHATTAN,609,5 AVENUE,10017,American,0
3373,40983620,AURORA,7183885100,BROOKLYN,70,GRAND STREET,11249,Italian,0
3374,40983698,YUCA BAR & RESTAURANT,2129829533,MANHATTAN,111,AVENUE A,10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3375,40983954,SWEET TREATS PASTRY SHOPPE,7184234413,QUEENS,6122,SPRINGFIELD BLVD FL 1ST,11364,Bakery,0
3376,40984001,LABADEE MANOIR,7184644400,QUEENS,2071315,JAMAICA AVENUE,11428,Caribbean,1
3377,40984099,HERALD SQUARE MARKET,2122443484,MANHATTAN,968,6 AVENUE,10018,American,1
3378,40984211,LONG ISLAND UNIVERSITY - BLACKBIRD CAFE,7182466466,BROOKLYN,1,UNIVERSITY PLAZA,11201,Caf̩/Coffee/Tea,0
3379,40984234,LONG ISLAND UNIVERSITY - LUNTEY COMMONS,7184881358,BROOKLYN,1,UNIVERSITY PLAZA,11201,American,0
3380,40984237,VIDA,7187201501,STATEN ISLAND,381,VAN DUZER STREET,10304,Mediterranean,0
3381,40984264,DUNKIN' DONUTS,7189801257,STATEN ISLAND,1854,HYLAN BOULEVARD,10305,Caf̩/Coffee/Tea,0
3382,40984272,LOS TEMERARIOS,7186511155,QUEENS,8509,ROOSEVELT AVENUE,11372,Mexican,1
3383,40985219,O LAVRADOR RESTAURANT,7185261526,QUEENS,13840,101 AVENUE,11435,Portuguese,1
3384,40985809,NO. 1 CHINESE RESTAURANT,7183332166,BROOKLYN,8506,21 AVENUE,11214,Chinese,0
3385,40985814,LORELEY RESTAURANT,2122537077,MANHATTAN,7,RIVINGTON STREET,10002,German,0
3386,40985913,STARBUCKS,7188363882,BROOKLYN,7419,3 AVENUE,11209,Caf̩/Coffee/Tea,0
3387,40986085,ZAITZEFF,2125717272,MANHATTAN,72,NASSAU STREET,10038,American,0
3388,40986189,LIEBMAN'S DELI,7185484534,BRONX,552,WEST  235 STREET,10463,Jewish/Kosher,0
3389,40986218,GREEN SYMPHONY,2123914747,MANHATTAN,255,WEST   43 STREET,10036,American,0
3390,40986347,VESUVIOS PIZZA,7183399300,BROOKLYN,1800,KINGS HIGHWAY,11229,Pizza,0
3391,40986401,PAX,2128693535,MANHATTAN,225,WEST   42 STREET,10036,American,0
3392,40986939,WASABI SUSHI,7182663500,BROOKLYN,2375,86 STREET,11214,Japanese,1
3393,40987028,TONG'S CAFE,7184613989,QUEENS,4151,MAIN STREET,11355,Bakery,1
3394,40987128,AMBROSIA,2129210024,MANHATTAN,8,WEST   45 STREET,10036,Korean,0
3395,40987257,DELIZIA  RISTORANTE,2125178888,MANHATTAN,1374,1 AVENUE,10021,Italian,0
3396,40987470,GROTTA AZZURRA,2129258775,MANHATTAN,177,MULBERRY STREET,10013,Italian,0
3397,40987564,"DUNKIN' DONUTS, BASKIN ROBBINS",7186284248,QUEENS,6667,FRESH POND ROAD,11385,Donuts,0
3398,40987572,"DUNKIN' DONUTS, BASKIN ROBBINS",7187266982,QUEENS,2928,HOYT AVENUE,11102,Donuts,0
3399,40987693,SHALIMAR DINER,7185447724,QUEENS,6368,AUSTIN STREET,11374,American,0
3400,40987708,HALE & HEARTY SOUP,2124803854,MANHATTAN,80,PINE STREET,10005,Soups & Sandwiches,0
3401,40988156,BIDDY'S PUB,2125344785,MANHATTAN,301,EAST   91 STREET,10128,American,0
3402,40988528,LA STRADA PIZZERIA RESTAURANT,7186868057,BROOKLYN,5023,10 AVENUE,11219,Pizza/Italian,1
3403,40988630,REVISION,6464907271,MANHATTAN,219,AVENUE B,10009,American,1
3404,40988754,UNION BANK OF SWITZERLAND,2127134875,MANHATTAN,1285,6 AVENUE,10019,American,0
3405,40988793,UBS,2127138540,MANHATTAN,1285,6 AVENUE,10019,American,0
3406,40988946,ALEO,2126918136,MANHATTAN,7,WEST   20 STREET,10011,Italian,0
3407,40988969,LORETTA'S PIZZA,7189315511,BRONX,3276,LAYTON AVENUE,10465,Pizza,1
3408,40989220,NHA TRANG RESTAURANT,2122335948,MANHATTAN,87,BAXTER STREET,10013,Vietnamese/Cambodian/Malaysia,0
3409,40989507,AMC THEATRES,7183201659,BRONX,2210,BARTOW AVENUE,10475,American,1
3410,40989787,NOLBU RESTAURANT,7183211151,QUEENS,16425,NORTHERN BOULEVARD,11358,Korean,0
3411,40990257,A & A BAKE SHOP,9178929562,BROOKLYN,481,NOSTRAND AVENUE,11216,Bakery,1
3412,40990288,PUBLIC RESTAURANT/THE DAILY,2123437011,MANHATTAN,210,ELIZABETH STREET,10012,American,1
3413,40990299,ELEGANT CHINESE RESTAURANT,7187768270,QUEENS,21206,HILLSIDE AVENUE,11427,Chinese,0
3414,40990997,WENDY'S,2128893899,MANHATTAN,335,5 AVENUE,10016,Hamburgers,1
3415,40991266,ITALIANISSIMO RISTORANTE,2126288603,MANHATTAN,307,EAST   84 STREET,10028,Italian,0
3416,40991365,NAM SON RESTAURANT,2129666507,MANHATTAN,245,GRAND STREET,10002,Asian,0
3417,40991382,COZY CORNER/CHICKEN LOVER,2123086052,MANHATTAN,1161,2 AVENUE,10065,Delicatessen,1
3418,40991543,BLUE JAVA COFFEE BAR - BUTLER LIBRARY,2128541972,MANHATTAN,535,WEST  114 STREET,10027,Caf̩/Coffee/Tea,0
3419,40991804,EL VALLE RESTAURANT,7183781774,BRONX,794,SOUTHERN BOULEVARD,10455,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
3420,40991835,UNCLE JACK'S STEAKHOUSE,2122440005,MANHATTAN,440,9 AVENUE,10001,Steak,0
3421,40992090,MCDONALD'S,7182272483,STATEN ISLAND,260,PAGE AVENUE,10307,Hamburgers,0
3422,40992170,B.A.M. CAFE/GREAT PERFORMANCES,7186237811,BROOKLYN,30,LAFAYETTE AVENUE,11217,American,0
3423,40992205,JERUSALEM II PIZZA,7183388156,BROOKLYN,1312,AVENUE J,11230,Jewish/Kosher,0
3424,40992677,BRIGHT STAR CHINESE FOOD,7186556688,BRONX,745,EAST GUN HILL ROAD,10467,Chinese,1
3425,40992678,DOMINIE'S HOEK,9173534050,QUEENS,4817,VERNON BOULEVARD,11101,American,1
3426,40993070,BASURERO,7185457077,QUEENS,3217,STEINWAY STREET,11103,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3427,40993101,SANT AMBROEUS,2126049254,MANHATTAN,259,WEST    4 STREET,10014,Italian,0
3428,40993361,KNAPP PIZZA III,7186271700,BROOKLYN,427,KINGS HIGHWAY,11223,Pizza,0
3429,40993510,THE NEW SANTIAGO RESTAURANT,7188275858,BROOKLYN,3412,FULTON STREET,11208,Spanish,1
3430,40993542,CAFE 28,2126867300,MANHATTAN,245,5 AVENUE,10016,American,1
3431,40993590,CARIDAD,2125958121,MANHATTAN,588,AMSTERDAM AVENUE,10024,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3432,40993786,DUNKIN' DONUTS,7189667111,STATEN ISLAND,150,GREAVES LANE,10308,Donuts,0
3433,40993802,DUNKIN' DONUTS,7189675744,STATEN ISLAND,4000,HYLAN BOULEVARD,10308,Donuts,0
3434,40993898,ESSEX WORLD CAFE,2127919900,MANHATTAN,112,LIBERTY STREET,10006,American,0
3435,40994007,CONTINENTAL,2125296924,MANHATTAN,25,3 AVENUE,10003,American,0
3436,40994221,MANGIA,2126470287,MANHATTAN,22,WEST   23 STREET,10010,Italian,1
3437,40994615,APPLEBEE'S,2122622400,MANHATTAN,205,WEST   50 STREET,10019,American,0
3438,40994739,LE PAIN QUOTIDIEN,2127570775,MANHATTAN,922,7 AVENUE,10019,Sandwiches,0
3439,40994918,KEY BAR,2124783021,MANHATTAN,432,EAST   13 STREET,10009,American,0
3440,40995004,SUBWAY,2125820880,MANHATTAN,314,WEST   58 STREET,10019,Sandwiches,0
3441,40995117,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,7183250900,BRONX,4708,WHITE PLAINS ROAD,10470,Caribbean,0
3442,40995330,TACOS MEXICOS,7185455888,QUEENS,3208,38 STREET,11103,Mexican,0
3443,40995404,EL GUANACO RESTAURANT & PUPUSERIA,2127955400,MANHATTAN,4195,BROADWAY,10033,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
3444,40995536,TABOON,2127130271,MANHATTAN,773,10TH AVENUE,10019,Mediterranean,0
3445,40995563,LEGEND COOKHOUSE,7188484444,QUEENS,13511,ROCKAWAY BOULEVARD,11420,Caribbean,1
3446,40995721,QUARTINO BOTTEGA ORGANICA,2125295133,MANHATTAN,11,BLEECKER STREET,10012,Italian,0
3447,40995737,FLAVORS CAFE,2124802561,MANHATTAN,175,WATER STREET,10038,American,0
3448,40996005,N & D PIZZA,7187690909,BROOKLYN,2823,AVENUE U,11229,Pizza,0
3449,40996223,THE FOUR FACED LIAR,2122068959,MANHATTAN,165,WEST    4 STREET,10014,American,1
3450,40996365,POPEYES LOUISIANA KITCHEN,2127257033,MANHATTAN,75,LEXINGTON AVENUE,10010,Chicken,0
3451,40996465,OXFORD BAKE SHOP,7188434039,QUEENS,10401,LIBERTY AVENUE,11417,Bakery,0
3452,40996589,GENA'S GRILL,2124733700,MANHATTAN,210,1 AVENUE,10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
3453,40996642,RECUERDOS MEXICANOS,7188155533,STATEN ISLAND,232,PORT RICHMOND AVENUE,10302,Mexican,1
3454,40996665,CELTIC GASTHAUS,7184568341,QUEENS,6404,MYRTLE AVENUE,11385,American,1
